,0
523,8809.018854952099
524,12573.717943224829
525,5643.970754548894
526,5997.227058490594
527,13146.094533538433
528,5451.281344804293
529,4065.237950157152
530,12533.094576530944
531,9576.44916782583
532,11841.858470365727
533,2529.508011875131
534,6972.103972909347
535,10112.018623685874
536,13223.970770853364
537,7928.282851463535
538,5412.990568494685
539,9034.887768844632
540,8096.602663124823
541,12389.227985585843
542,12875.068633398929
543,13286.036013738829
544,13086.202441578282
545,11418.347343616904
546,5423.509239407175
547,12253.471331169922
548,13181.945050014654
549,5276.312480106994
550,9387.596474011456
551,10803.382309371123
552,5626.439655386139
553,10674.050109930326
554,11468.87596943343
555,5151.1242149196605
556,7648.472539583221
557,10312.883195478136
558,8238.459522360767
559,11604.415133292243
560,12356.133601165538
561,5319.5369577605925
562,9499.33771860232
563,6646.7138437769645
564,4967.957566297158
565,1833.9837900163166
566,8706.400901172407
567,11351.710219186212
568,9185.20280284835
569,10929.566427438915
570,8464.547367515714
571,8447.178098005765
572,9497.688475581697
573,9948.611411243937
574,6176.965285475987
575,7899.630001424856
576,13120.424274410158
577,7166.246430739371
578,12494.382218065914
579,10884.151391679265
580,9356.874552425441
581,4862.853617465513
582,11831.465950528687
583,7761.566539198856
584,10501.636361784094
585,3517.6091958622446
586,9422.079958983388
587,11935.176011131976
588,6978.34253246937
589,8193.352369310685
590,10013.27784914788
591,3283.0474351479616
592,8051.578797161847
593,10251.126431702021
594,5144.919777807483
595,12057.879670324663
596,11772.41275537409
597,1813.0748966953536
598,9001.949416693607
599,8096.07044338753
600,12615.076900758368
601,6719.965588181581
602,6666.078915252652
603,10909.911089217498
604,8547.063768100294
605,11903.630238251444
606,10544.634389120383
607,9980.264269749556
608,4434.286839551459
609,12057.179595396285
610,8539.458617320008
611,6150.379485836289
612,6671.096441978163
613,10731.611164663194
614,9953.042002901819
615,6881.890898684265
616,7947.304533636276
617,2008.0556532105663
618,11211.287765145835
619,8058.752618960007
620,11192.300197983668
621,7792.452190659889
622,6621.894682571478
623,8932.612543678943
624,13089.47229493653
625,7960.504117356966
626,12164.882043335841
627,8611.3900929703
628,8788.78394590537
629,12100.864114309701
630,12242.762512132198
631,9304.309939022742
632,5687.8612435450605
633,9779.98636253334
634,8173.504314888879
635,10212.610739517399
636,8552.603705131603
637,7857.732328611884
638,8807.107223722542
639,5732.297090098881
640,11140.727519116184
641,4179.428521580684
642,7392.557160527752
643,2433.8281717505056
644,5719.929604536676
645,909.2159663892731
646,11942.481544587225
647,10549.722135170203
648,11292.675497400429
649,10529.309872621005
650,9071.572475614414
651,10129.895860895911
652,2718.651415349819
653,12789.96467494962
654,8436.615549920321
655,6663.285952727535
656,12012.330487371264
657,7223.6630103045045
658,11320.41458188917
659,10139.967840107622
660,8744.943695677102
661,7642.518476153137
662,8999.507034407368
663,9796.942693628236
664,12400.907603623726
665,5251.521372051808
666,9897.305444386217
667,10578.943020082943
668,10850.520220653947
669,10182.7043591342
670,9089.438811407144
671,9441.485320758686
672,5385.696844955257
673,10164.621872413865
674,13197.825693262503
675,7315.269085076397
676,5252.912500470144
677,10236.681102445044
678,10398.94350493683
679,7849.12297126545
680,11579.564605176383
681,10788.36558444478
682,10491.01431534002
683,11697.703821723479
684,8654.478898761025
685,6921.067179096501
686,12227.480776907842
687,1601.655814070169
688,11673.82668571115
689,12421.594255749824
690,6594.800061714729
691,12795.0412184121
692,11758.922461752627
693,10560.230401821384
694,4146.326121822202
695,4711.566024257578
696,9783.394433519888
697,10053.762023631854
698,9812.375760438952
699,2993.129231616057
700,10612.966415661958
701,7518.152935126394
702,11699.94411601786
703,12998.799625102449
704,4569.293078405958
705,12958.00150252704
706,8675.414777816635
707,2038.575409135709
708,12292.074017326317
709,11491.810927558907
710,8111.600534325036
711,12023.198528924699
712,11155.829863102812
713,12966.216786099933
714,9085.595278922314
715,7941.549113169329
716,13049.979875723715
717,6241.542063664153
718,12631.479525327772
719,8043.781893438084
720,13083.485917377071
721,11333.077147107975
722,5583.331649542927
723,6682.48453062036
724,8651.218059667917
725,8230.124543900447
726,11155.49118602073
727,10898.481800045858
728,8982.112983554518
729,5539.852263203398
730,12751.783065729009
731,12734.015888748709
732,8550.988825196324
733,3879.0189087873177
734,863.0160011207771
735,11086.724325993328
736,6476.534976509997
737,11314.129211641777
738,13102.956721159206
739,9432.135195291785
740,5257.214403168534
741,12999.474440149866
742,4190.419632488035
743,8355.684297818108
744,9480.322322678216
745,10311.818284076197
746,10526.075784923494
747,11469.641188857206
748,12848.57059113188
749,8168.264621815095
750,13039.965657153058
751,7878.864691368196
752,3347.451708785417
753,762.0759757930847
754,12392.186496123722
755,7975.945101743893
756,8842.217793016729
757,8215.176477449226
758,8617.374678940161
759,12124.435918564262
760,10656.676080644555
761,5375.214374815354
762,7641.932310297505
763,8146.939143818884
764,10609.89970351916
765,7892.2736389999545
766,6654.489026822665
767,9025.35699443904
768,3505.632604655756
769,2263.7109206637406
770,7991.7726857927755
771,11834.208356463381
772,12593.402065439212
773,8440.67409105996
774,838.0314225138676
775,10519.49464702002
776,13155.942069253955
777,6956.352129699696
778,9906.424736954084
779,10714.826951778417
780,13112.911713835347
781,4754.931977478453
782,3905.379708354452
783,8068.968296616667
784,3723.8694747486597
785,11694.29476775009
786,10360.031767464914
787,12166.975043836685
788,8887.472438230836
789,10140.128173242683
790,8951.19715725569
791,6104.978801680745
792,10230.765540863948
793,9026.95568945793
794,13250.38857714547
795,6009.183502436517
796,8915.590487314257
797,6220.2076771971215
798,6210.325679149945
799,11042.28045128157
800,12796.794309241093
801,11759.37516156961
802,6828.255300218482
803,9585.47029388798
804,8019.914134228302
805,5264.052091918562
806,8018.895163913553
807,8282.29396238526
808,3266.018503885836
809,8343.223924482267
810,11499.440741710016
811,9001.85354896026
812,2440.367928462516
813,11616.15437099318
814,5184.774620015043
815,9504.211601069066
816,7525.665503162431
817,9785.133669075858
818,9535.481156117674
819,7633.437386512475
820,8040.825276774651
821,12828.303870927644
822,11610.793249991737
823,12673.930777438427
824,12234.92265449504
825,12293.043932688242
826,9674.798258711242
827,9309.155034779775
828,12240.95261116451
829,3487.1098728894376
830,10902.807667164725
831,7313.90972835086
832,4175.597163187448
833,8197.25256274909
834,11413.028182231914
835,8667.039202467895
836,11185.6176189431
837,9994.304364818412
838,11771.952205325411
839,12692.337962466603
840,5109.888415795417
841,11044.846757548603
842,10553.46963444907
843,8622.855187636975
844,2413.96512764651
845,9655.83392056021
846,8237.365357124178
847,7622.448678046842
848,10846.067206168822
849,12973.645814334623
850,5460.643238014463
851,9786.921941327046
852,7674.15825520955
853,12130.787772150681
854,10417.355860043916
855,9126.448285630424
856,11337.07323108224
857,7409.86336824044
858,7259.032834016528
859,9753.77365050688
860,10016.410768583084
861,9133.665764088402
862,6291.910656038384
863,10731.181376528339
864,6475.708198570773
865,5795.669746592842
866,10666.615840221819
867,6801.2341765706415
868,6348.657020724537
869,2933.387593403868
870,11538.298556228974
871,10374.89361462138
872,10219.943167234087
873,9208.761351441764
874,8422.582685184121
875,12083.398146900861
876,6646.253480927669
877,8546.440313989431
878,10904.20866613652
879,9396.209918937871
880,11934.23937962068
881,13059.06053969546
882,8359.629498357188
883,9000.50776222413
884,11928.78970578958
885,5442.078528205032
886,11192.191798433392
887,9184.128939172087
888,6867.441719947093
889,3693.7294313807542
890,13275.338143391225
891,12489.916230383547
892,12088.557776207841
893,8360.89380623823
894,5364.907257836077
895,8921.463275035083
896,10289.266584263436
897,9755.70085462593
898,7614.882508433885
899,8020.757877791684
900,12319.582966641005
901,8339.069559594222
902,5325.634356326227
903,11505.453543798609
904,9497.381318363223
905,9407.72456039684
906,11134.16388424945
907,10764.528712944033
908,3874.212247224961
909,7312.5929158423605
910,8560.885142220433
911,8253.552468580801
912,11354.661089691885
913,7444.662972730328
914,5380.8136854805
915,12004.371171824288
916,6148.763689983649
917,11986.097697150877
918,9921.30273236997
919,5310.477897036358
920,8966.44819048154
921,5066.101873059086
922,12182.587046682343
923,4244.650978306013
924,12697.615085369209
925,3169.8101082754774
926,1324.427326277492
927,11903.195000318381
928,11641.286931028275
929,8240.60046217927
930,6735.466579760451
931,12977.612493246868
932,7030.077309054841
933,11368.548793271717
934,10345.786299573663
935,10350.82080159991
